Actual,PredictedProb,Score
0,0.35044291027515007,731.0
0,0.3683721052803876,728.0
0,0.7237729021357456,685.0
0,0.2565861104748077,744.0
0,0.44870942574039197,719.0
1,0.8476863313184928,663.0
0,0.13791038707770337,766.0
0,0.18541275679604924,756.0
0,0.5798328053605531,704.0
0,0.15257438244988436,762.0
0,0.1528393239588527,762.0
0,0.21480314328247113,750.0
1,0.7854109254525437,675.0
0,0.2363000948728757,747.0
0,0.22475006251745686,749.0
0,0.24063454491744996,746.0
1,0.31901333110952346,735.0
0,0.3969694133888567,725.0
0,0.22997157678583713,748.0
0,0.5673832655582038,705.0
0,0.5090639840322163,712.0
0,0.12498311077923141,769.0
0,0.23395603320218472,747.0
0,0.555492912004205,706.0
0,0.3303939748566416,733.0
0,0.6296868375083078,698.0
0,0.22623280653444053,748.0
0,0.2037419100014184,752.0
0,0.18510368792020615,756.0
0,0.16948273664037,759.0
0,0.4116370231865962,723.0
0,0.28965736202813586,739.0
0,0.5143163185531676,711.0
1,0.840349137495255,665.0
0,0.5381414500788888,708.0
0,0.2745258983868386,741.0
0,0.15466084400630253,762.0
0,0.18129898613336745,756.0
0,0.15812874793435125,761.0
0,0.740376641719788,683.0
0,0.6150611699847705,699.0
0,0.17750346929193467,757.0
0,0.2580541310766067,743.0
0,0.5143163185531676,711.0
0,0.31847064528873525,735.0
0,0.3363554668640339,732.0
0,0.5441116628375857,708.0
0,0.35486485105286425,730.0
0,0.355541560746759,730.0
0,0.20194247803541202,753.0
0,0.5309874231467143,709.0
0,0.7621044002819177,679.0
0,0.40308470065731195,724.0
0,0.7766837868188761,677.0
0,0.165650532832137,760.0
0,0.1418638219883131,765.0
0,0.6621962243429291,693.0
0,0.4368194976912795,720.0
0,0.7641523202953062,679.0
0,0.23658695134106403,747.0
0,0.17386581177107654,758.0
0,0.18319361665701903,756.0
0,0.37136180548682785,728.0
0,0.2552739215720236,744.0
0,0.7658481571851092,679.0
0,0.14977437965237597,763.0
0,0.24132633749189655,746.0
1,0.7797621279907028,676.0
0,0.15497713711204344,762.0
0,0.39327244258038946,725.0
0,0.7280081709144839,684.0
0,0.12498311077923141,769.0
0,0.8008100666853413,673.0
0,0.2711608708250175,741.0
0,0.18740329193347335,755.0
0,0.3104810167844907,736.0
0,0.7805279378075695,676.0
0,0.7181892899692508,686.0
0,0.19362719981505092,754.0
0,0.7178454944420839,686.0
0,0.15074301535470153,763.0
0,0.7621044002819177,679.0
0,0.2600906157236866,743.0
0,0.6109120083274668,700.0
0,0.15867800337945162,761.0
0,0.8196985820363827,669.0
0,0.37871619514870675,727.0
0,0.5883252162825813,703.0
0,0.7640228525917773,679.0
0,0.6695823326127746,692.0
0,0.6303033635930523,697.0
0,0.3222463693636349,734.0
0,0.16948273664037,759.0
0,0.7726897721868036,678.0
0,0.26636407907122306,742.0
1,0.6242556835357513,698.0
0,0.16428731294131194,760.0
0,0.15433097592205317,762.0
0,0.1490705666583945,763.0
0,0.4921912372369472,714.0
0,0.7430982166161447,682.0
0,0.7432039800737168,682.0
0,0.29790204725236935,738.0
0,0.27590375571512704,741.0
0,0.6978211358563817,689.0
0,0.4426273523845758,720.0
0,0.11725397689552142,771.0
1,0.44948565942712404,719.0
0,0.22978051463131222,748.0
1,0.751426516814432,681.0
0,0.23043831286301078,748.0
0,0.2254541759033078,748.0
0,0.7984170062361611,673.0
0,0.3552397432104012,730.0
0,0.2600906157236866,743.0
0,0.44431507833275835,719.0
0,0.26602575189738636,742.0
0,0.15074301535470153,763.0
0,0.807167004539524,672.0
0,0.18648135461029658,755.0
0,0.2987190742011305,738.0
0,0.15264252128077094,762.0
0,0.5615153451625642,706.0
0,0.1721658898439268,758.0
0,0.21703137244103426,750.0
0,0.20467166637331838,752.0
0,0.21557592456224944,750.0
0,0.1773871993180796,757.0
0,0.5609200994276523,706.0
0,0.283572594897214,740.0
0,0.17108862346524217,758.0
0,0.33732181489100754,732.0
0,0.22203452926166495,749.0
0,0.15190265648998885,762.0
0,0.23381457128651748,747.0
0,0.28354849466134835,740.0
0,0.5039575361494868,712.0
0,0.6917236046890146,690.0
0,0.7322185707141642,684.0
0,0.32311761954492746,734.0
1,0.1691947064364361,759.0
0,0.6986854799372046,689.0
0,0.33477936551026083,733.0
1,0.38486566388768134,726.0
0,0.15450551086733397,762.0
1,0.26860802510084286,742.0
0,0.44622459531878467,719.0
0,0.21703137244103426,750.0
0,0.7375913633180381,683.0
0,0.4900915876241679,714.0
0,0.814544294077502,670.0
0,0.46119102608320434,717.0
0,0.2594432974647264,743.0
0,0.27501265146558684,741.0
0,0.8229457359283583,669.0
0,0.480272533921896,715.0
0,0.18981221454798392,755.0
0,0.8438442309623387,664.0
0,0.5380903522106807,708.0
0,0.2093176343744252,751.0
0,0.3200181435757621,735.0
0,0.35457028906530524,730.0
0,0.3244486490268838,734.0
0,0.19051298999480618,755.0
0,0.29996404070400784,737.0
0,0.641561865166786,696.0
0,0.6182696210226046,699.0
0,0.7287215773717146,684.0
0,0.7235155440589519,685.0
0,0.2137719514030658,750.0
0,0.15326295815453236,762.0
0,0.36524636604414373,729.0
0,0.24271474100138685,746.0
1,0.7322265638514027,684.0
0,0.1804488277533488,757.0
0,0.4605326345239843,717.0
0,0.6264577833457518,698.0
1,0.7694835547783553,678.0
0,0.11882988446311427,771.0
0,0.24464440089039674,745.0
0,0.18654373242777014,755.0
1,0.5609200994276523,706.0
0,0.1648572777805522,760.0
0,0.5372451220047014,709.0
0,0.8083216811824256,671.0
0,0.22737894598003858,748.0
0,0.7889710598218361,675.0
0,0.1858172109315013,756.0
0,0.6195988953233194,699.0
0,0.6031335710771135,701.0
0,0.16995478236311376,759.0
0,0.5607136675545382,706.0
0,0.557281327492677,706.0
0,0.33900553557373,732.0
0,0.7759918920168589,677.0
0,0.28044056293342223,740.0
0,0.48379945815267633,715.0
0,0.16227556490744133,760.0
0,0.44948565942712404,719.0
1,0.5899731705190624,702.0
0,0.2878856454347484,739.0
0,0.12935795981661166,768.0
0,0.15289378999901876,762.0
0,0.8218699239947976,669.0
0,0.3214322371896586,734.0
0,0.17257463433321155,758.0
0,0.3626160498397318,729.0
0,0.36524636604414373,729.0
0,0.2713869305826039,741.0
0,0.4128810363624751,723.0
0,0.4928451711213238,714.0
0,0.323067054822997,734.0
0,0.5378532844637346,708.0
0,0.25949331948027676,743.0
0,0.17827609665688923,757.0
0,0.43721600100357066,720.0
0,0.1648572777805522,760.0
0,0.5154271861557249,711.0
0,0.1632375370117693,760.0
0,0.2299281895611664,748.0
0,0.3611508836152531,729.0
0,0.26733476839648485,742.0
1,0.6557293870084103,694.0
0,0.24054941001173147,746.0
0,0.5206390496394387,710.0
0,0.16608433974344275,759.0
0,0.7463201817141829,682.0
0,0.28354849466134835,740.0
0,0.7805279378075695,676.0
0,0.4892224746211552,714.0
0,0.7475506293570785,682.0
0,0.323067054822997,734.0
0,0.16235288486526175,760.0
0,0.4677291706026549,717.0
0,0.49278738255956667,714.0
0,0.3363479933205919,732.0
0,0.2289456464956807,748.0
0,0.19926604601668269,753.0
1,0.7958185832611951,674.0
0,0.49217045910520413,714.0
0,0.35848854817889086,730.0
0,0.20581655088257014,752.0
0,0.17257463433321155,758.0
0,0.13615538621385578,766.0
0,0.5673832655582038,705.0
0,0.6557293870084103,694.0
0,0.16741507244688905,759.0
1,0.37136180548682785,728.0
0,0.29258374030235196,738.0
0,0.6805273553062149,691.0
0,0.5222587690943743,710.0
0,0.2439342110582787,746.0
0,0.2191467053802691,750.0
0,0.3831048626918614,727.0
